HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457671.78866,2016-10-10.2870751,bd,1.52,15.352,11.893,0.010,67.075,0.598,V
2457671.78990,2016-10-10.288325,bd,1.49,15.383,11.886,0.010,67.538,0.595,V
2457675.77730,2016-10-14.2758738,bd,1.72,15.334,11.887,0.010,67.477,0.616,V
2457675.77854,2016-10-14.2771173,bd,1.69,15.329,11.885,0.010,67.638,0.631,V
2457675.77980,2016-10-14.2783711,bd,1.70,15.314,11.880,0.010,67.903,0.626,V
2457685.77235,2016-10-24.2713363,bd,2.16,15.086,11.894,0.012,67.075,0.751,V
2457685.77360,2016-10-24.2725940,bd,1.76,15.267,11.905,0.011,66.339,0.654,V
2457685.77487,2016-10-24.2738587,bd,1.74,15.284,11.894,0.011,67.037,0.640,V
2457686.76740,2016-10-25.2664331,bd,1.54,15.500,11.893,0.009,67.093,0.535,V
2457686.76867,2016-10-25.2677013,bd,1.50,15.486,11.902,0.009,66.566,0.547,V
2457686.76992,2016-10-25.2689535,bd,1.54,15.483,11.911,0.009,65.954,0.545,V
2457689.75869,2016-10-28.2578534,bd,1.61,14.814,11.939,0.016,64.333,0.989,V
2457689.75994,2016-10-28.2591037,bd,1.55,14.917,11.907,0.016,66.216,0.933,V
2457689.76120,2016-10-28.2603686,bd,1.54,14.581,11.942,0.021,64.091,1.233,V
2457690.75842,2016-10-29.2576297,bd,1.64,15.491,11.897,0.009,66.846,0.537,V
2457690.75967,2016-10-29.2588820,bd,1.60,15.471,11.900,0.009,66.649,0.543,V
2457690.76092,2016-10-29.2601334,bd,1.66,15.485,11.895,0.009,66.935,0.537,V
2457693.74579,2016-11-01.2451366,bd,1.48,15.067,11.967,0.017,62.637,0.971,V
2457693.74704,2016-11-01.2463872,bd,1.50,15.420,11.906,0.010,66.271,0.574,V
2457693.74830,2016-11-01.2476506,bd,1.52,15.478,11.918,0.009,65.590,0.558,V
2457694.74138,2016-11-02.2407715,bd,1.50,15.491,11.909,0.009,66.145,0.538,V
2457694.74263,2016-11-02.2420168,bd,1.52,15.492,11.903,0.009,66.506,0.527,V
2457694.74389,2016-11-02.2432782,bd,1.47,15.471,11.891,0.009,67.249,0.542,V
2457697.73645,2016-11-05.2359774,bd,1.58,15.486,11.906,0.009,66.302,0.538,V
2457697.73771,2016-11-05.2372398,bd,1.62,15.469,11.873,0.009,68.300,0.544,V
2457697.73897,2016-11-05.2384984,bd,1.61,15.483,11.885,0.009,67.595,0.560,V
2457703.71592,2016-11-11.2157318,bd,1.52,15.427,11.868,0.009,68.659,0.585,V
2457703.71718,2016-11-11.2169840,bd,1.47,15.418,11.890,0.009,67.284,0.577,V
2457703.71843,2016-11-11.2182365,bd,1.49,15.407,11.886,0.009,67.546,0.579,V
2457706.70762,2016-11-14.2075636,bd,1.49,15.320,11.907,0.010,66.241,0.621,V
2457706.70887,2016-11-14.2088187,bd,1.51,15.276,11.868,0.010,68.669,0.656,V
2457706.71013,2016-11-14.2100728,bd,1.50,15.257,11.904,0.011,66.398,0.658,V
2457710.69907,2016-11-18.1992018,bd,1.60,15.490,11.906,0.009,66.307,0.544,V
2457710.70032,2016-11-18.2004552,bd,1.59,15.498,11.903,0.009,66.488,0.535,V
2457710.70157,2016-11-18.2017074,bd,1.58,15.492,11.893,0.009,67.074,0.545,V
2457823.13472,2017-03-10.6371085,bd,1.45,15.444,11.897,0.009,66.805,0.555,V
2457823.13602,2017-03-10.6384070,bd,1.48,15.452,11.909,0.009,66.116,0.551,V
2457823.13729,2017-03-10.6396803,bd,1.54,15.455,11.897,0.009,66.873,0.548,V
2457829.13193,2017-03-16.6341837,bd,1.51,15.411,11.891,0.010,67.240,0.575,V
2457829.13321,2017-03-16.6354613,bd,1.55,15.418,11.896,0.009,66.909,0.575,V
2457829.13448,2017-03-16.6367368,bd,1.54,15.406,11.893,0.010,67.073,0.584,V
2457835.12151,2017-03-22.6236040,bd,1.66,15.461,11.895,0.009,67.013,0.549,V
2457835.12278,2017-03-22.6248813,bd,1.62,15.454,11.880,0.009,67.903,0.547,V
2457835.12406,2017-03-22.6261581,bd,1.61,15.462,11.892,0.009,67.199,0.559,V
2457843.11192,2017-03-30.6137696,bd,1.56,15.495,11.919,0.009,65.516,0.531,V
2457843.11319,2017-03-30.6150449,bd,1.56,15.470,11.917,0.009,65.596,0.541,V
2457843.11446,2017-03-30.6163164,bd,1.61,15.499,11.909,0.009,66.131,0.537,V
2457846.09435,2017-04-02.5960983,bd,1.99,15.445,11.897,0.009,66.863,0.558,V
2457846.09561,2017-04-02.5973653,bd,1.68,15.458,11.898,0.009,66.823,0.545,V
2457846.09689,2017-04-02.5986427,bd,2.04,15.394,11.891,0.010,67.219,0.587,V
2457852.06755,2017-04-08.5690849,bd,1.80,15.310,11.889,0.010,67.355,0.629,V
2457852.06882,2017-04-08.5703542,bd,1.69,15.366,11.898,0.010,66.801,0.603,V
2457852.07009,2017-04-08.5716248,bd,1.70,15.333,11.893,0.010,67.119,0.619,V
2457859.11029,2017-04-15.6115479,bd,1.51,15.444,11.900,0.009,66.654,0.564,V
2457859.11156,2017-04-15.6128180,bd,1.53,15.454,11.902,0.009,66.539,0.564,V
2457859.11283,2017-04-15.6140834,bd,1.62,15.445,11.900,0.009,66.689,0.568,V
2457870.08614,2017-04-26.5869344,bd,1.56,15.483,11.894,0.009,67.024,0.539,V
2457870.08742,2017-04-26.5882057,bd,1.52,15.487,11.907,0.009,66.244,0.547,V
2457870.08869,2017-04-26.5894853,bd,1.50,15.488,11.903,0.009,66.442,0.546,V
2457877.07404,2017-05-03.5745215,bd,1.54,15.506,11.907,0.009,66.272,0.529,V
2457877.07531,2017-05-03.5757902,bd,1.52,15.507,11.897,0.009,66.893,0.533,V
2457877.07659,2017-05-03.5770662,bd,1.49,15.511,11.898,0.009,66.810,0.537,V
2457879.99883,2017-05-06.4991731,bd,1.50,15.357,11.887,0.010,67.453,0.605,V
