MJD,V-mag,SE,air.mass
58020.14668,12.0813,0.0016,1.028
58020.14718,12.0877,0.0016,1.028
58020.14770,12.0865,0.0015,1.028
58020.14821,12.0794,0.0013,1.029
58020.14872,12.0904,0.0013,1.029
58020.14922,12.0767,0.0012,1.029
58020.14973,12.0789,0.0012,1.029
58020.15024,12.0795,0.0013,1.029
58020.15075,12.0847,0.0014,1.029
58020.15125,12.0875,0.0015,1.030
58020.15175,12.0741,0.0016,1.030
58020.15226,12.0805,0.0016,1.030
58020.15277,12.0776,0.0016,1.030
58020.15328,12.0881,0.0016,1.031
58020.15378,12.0842,0.0016,1.031
58020.15429,12.0879,0.0016,1.031
58020.15479,12.0827,0.0016,1.031
58020.15530,12.0859,0.0015,1.032
58020.15581,12.0957,0.0014,1.032
58020.15632,12.0769,0.0014,1.032
58020.15683,12.0827,0.0013,1.032
58020.15733,12.0777,0.0013,1.033
58020.15784,12.0902,0.0013,1.033
58020.15833,12.0840,0.0013,1.033
58020.15884,12.0821,0.0013,1.034
58020.15934,12.0817,0.0013,1.034
58020.15986,12.0860,0.0013,1.034
58020.16956,12.0816,0.0012,1.042
58020.17007,12.0847,0.0012,1.042
58020.17058,12.0877,0.0012,1.043
58020.17108,12.0916,0.0012,1.043
58020.17159,12.0844,0.0011,1.043
58020.17209,12.0925,0.0011,1.044
58020.17260,12.0838,0.0011,1.044
58020.17311,12.0955,0.0011,1.045
58020.17362,12.0871,0.0011,1.045
58020.17413,12.0879,0.0011,1.046
58020.17463,12.0915,0.0010,1.046
58020.17514,12.0838,0.0010,1.047
58020.17561,12.0890,0.0010,1.047
58020.17611,12.0815,0.0010,1.048
58020.17662,12.0774,0.0010,1.049
58020.17713,12.0905,0.0010,1.049
58020.17764,12.0851,0.0009,1.050
58020.17816,12.0825,0.0009,1.050
58020.17867,12.0855,0.0009,1.051
58020.17918,12.0890,0.0009,1.051
58020.17969,12.0760,0.0009,1.052
58020.18020,12.0890,0.0010,1.053
58020.18071,12.0823,0.0010,1.053
58020.18122,12.0811,0.0011,1.054
58020.18174,12.0884,0.0011,1.055
58020.18223,12.0865,0.0012,1.055
58020.18274,12.0838,0.0013,1.056
58020.18325,12.0841,0.0013,1.056
58020.18375,12.0802,0.0014,1.057
58020.18426,12.0808,0.0014,1.058
