Time,n_flux
143.11842,0.99971711
143.13886,0.99963976
143.15929,0.99957816
143.17973,0.99974043
143.20016,0.99982830
143.22060,0.99982537
143.24103,0.99967930
143.26146,0.99980037
143.28190,0.99972363
143.30233,0.99955411
143.32277,0.99966560
143.36364,0.99977333
143.38407,0.99972590
143.40451,0.99981113
143.42494,0.99974600
143.44538,1.0000392
143.46581,1.0000935
143.48624,1.0001564
143.50668,1.0001745
143.52711,1.0002850
143.54755,1.0001773
143.56798,1.0002535
143.58842,1.0002091
143.60885,1.0002088
143.62929,1.0002969
143.64972,1.0002493
143.67015,1.0003128
143.69059,1.0003907
143.71102,1.0003453
143.73146,1.0002820
143.75189,1.0004150
143.77233,1.0003455
143.79276,1.0002654
143.81320,1.0004025
143.83363,1.0002534
143.85407,1.0003099
143.87450,1.0002412
143.89493,1.0002452
143.91537,1.0000244
143.93580,0.99987478
143.95624,1.0001047
143.97667,1.0000667
143.99711,1.0000697
144.01754,1.0001835
144.03798,1.0001959
144.05841,1.0002510
144.07884,1.0001806
144.09928,1.0000808
144.11971,1.0000845
144.14015,1.0001091
144.16058,1.0001599
144.18102,1.0001465
144.20145,1.0003225
144.22189,1.0002410
144.24232,1.0004078
144.26276,1.0003737
144.28319,1.0003355
144.30362,1.0005746
144.32406,1.0006170
144.34449,1.0006149
144.36493,1.0006061
144.38536,1.0006729
144.40580,1.0005746
144.42623,1.0007569
144.44667,1.0006504
144.46710,1.0007487
144.48753,1.0005998
144.50797,1.0008076
144.52840,1.0007490
144.54884,1.0006666
144.56927,1.0005163
144.58971,1.0005397
144.61014,1.0005907
144.63058,1.0007608
144.65101,1.0004113
144.67145,1.0005816
144.69188,1.0006648
144.71231,1.0005575
144.73275,1.0006844
144.75318,1.0005036
144.77362,1.0005548
144.79405,1.0004974
144.81449,1.0003970
144.83492,1.0004780
144.85536,1.0004960
144.87579,1.0002438
144.89622,1.0002224
144.91666,1.0003251
144.93709,1.0003938
144.95753,1.0004288
144.97796,1.0003341
144.99840,1.0004090
145.01883,1.0003948
145.03927,1.0006074
145.05970,1.0006225
145.08014,1.0005241
145.10057,1.0007383
145.12100,1.0005870
145.14144,1.0005082
145.16187,1.0006018
145.18231,1.0005763
145.20274,1.0006906
145.22318,1.0006972
145.24361,1.0006575
145.26405,1.0006784
145.28448,1.0007340
145.30491,1.0006177
145.32535,1.0007769
145.34578,1.0008407
145.36622,1.0008268
145.38665,1.0009264
145.40709,1.0006954
145.42752,1.0008098
145.44796,1.0007920
145.46839,1.0008246
145.48883,1.0008230
145.50926,1.0007776
145.52969,1.0007343
145.55013,1.0007839
145.57056,1.0008376
145.59100,1.0008307
145.61143,1.0007361
145.63187,1.0009251
145.65230,1.0008452
145.67274,1.0006598
145.69317,1.0006958
145.71360,1.0006427
145.73404,1.0005899
145.75447,1.0004657
145.77491,1.0006736
145.79534,1.0005952
145.81578,1.0006137
145.83621,1.0006249
145.85665,1.0006408
145.87708,1.0008010
145.89752,1.0005958
145.91795,1.0006423
145.93838,1.0006857
145.95882,1.0006096
145.97925,1.0004943
145.99969,1.0007111
146.02012,1.0007722
146.04056,1.0007473
146.06099,1.0008164
146.08143,1.0009025
146.10186,1.0009890
146.12229,1.0009053
146.14273,1.0009449
146.16316,1.0009249
146.18360,1.0009820
146.20403,1.0010146
146.22447,1.0010175
146.24490,1.0010549
146.26534,1.0009657
146.28577,1.0009561
146.30621,1.0009717
146.34707,1.0009809
146.36751,1.0009275
146.38794,1.0007439
146.40838,1.0008855
146.42881,1.0008612
146.44925,1.0008578
146.46968,1.0008621
146.49012,1.0007806
146.51055,1.0009039
146.53098,1.0008195
146.55142,1.0009441
146.57185,1.0007362
146.59229,1.0007765
146.61272,1.0008298
146.63316,1.0006749
146.65359,1.0006218
146.67403,1.0006400
146.69446,1.0006994
146.71490,1.0006831
146.73533,1.0007496
146.75576,1.0005243
146.77620,1.0005308
146.79663,1.0006331
146.81707,1.0006206
146.83750,1.0004972
146.85794,1.0005073
146.87837,1.0005101
