ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,ROWID,
301.5643868,44.4568583,0.0356,0.0306,-0.0071,10.420,0.016,70.0,7.657e-01,10.456,0.018,60.3,1.171e+00,1,0,g000,AA,10,57157.24216633,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.119039,196.552995,10,
301.5643779,44.4568454,0.0358,0.0328,-0.0062,10.449,0.017,62.9,1.725e+00,10.439,0.018,59.7,8.889e-01,1,0,0000,AA,10,57157.30774528,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.170300,199.478091,50,
301.5643766,44.4568459,0.0341,0.0284,0.0011,10.426,0.015,70.2,1.412e+00,10.421,0.018,62.0,6.558e-01,1,0,0000,AA,10,57157.37345163,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.169772,200.743654,49,
301.5643822,44.4568349,0.0364,0.0330,-0.0071,10.439,0.015,71.0,1.764e+00,10.466,0.024,44.5,1.065e+00,1,0,0000,AA,10,57157.43903062,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.203554,192.984615,86,
301.5643782,44.4568489,0.0320,0.0324,-0.0081,10.429,0.017,64.9,1.261e+00,10.439,0.018,59.0,7.644e-01,1,0,0000,AA,10,57157.50460968,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.158222,200.736548,32,
301.5643414,44.4568573,0.0335,0.0334,-0.0042,10.409,0.018,58.8,2.544e+00,10.452,0.020,54.4,1.597e+00,1,0,0000,AA,10,57157.50473699,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.191132,231.982274,69,
301.5644288,44.4568978,0.0376,0.0312,0.0094,10.468,0.017,64.1,4.678e+00,10.424,0.020,55.0,1.272e+00,1,0,gg00,AA,10,57157.57031598,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.079141,69.221412,0,
301.5643522,44.4568431,0.0353,0.0312,-0.0091,10.427,0.015,71.3,8.296e-01,10.453,0.022,49.1,1.191e+00,1,0,0000,AA,10,57157.63589493,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.208800,216.034975,91,
301.5643716,44.4568639,0.0324,0.0324,-0.0058,10.425,0.017,65.6,1.288e+00,10.419,0.020,53.8,1.361e+00,1,0,0000,AA,10,57157.70160130,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.118960,217.835701,9,
301.5644045,44.4568471,0.0392,0.0319,-0.0135,10.439,0.017,63.3,2.017e+00,10.440,0.020,53.8,1.122e+00,1,0,g000,AA,10,57157.76718034,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.154873,175.718149,27,
