MJD,V-mag,SE,air mass
57876.36094,11.9041,0.0024,1.501
57876.36141,11.9095,0.0024,1.498
57876.36189,11.9079,0.0023,1.494
57876.36236,11.9090,0.0022,1.491
57876.36285,11.9084,0.0021,1.487
57876.36332,11.9090,0.0020,1.484
57876.36380,11.9024,0.0019,1.480
57876.36427,11.9054,0.0019,1.477
57876.36476,11.9034,0.0018,1.473
57876.36523,11.9042,0.0017,1.470
57876.36572,11.9054,0.0017,1.467
57876.36619,11.9034,0.0017,1.463
57876.36668,11.9012,0.0017,1.460
57876.36714,11.9050,0.0018,1.457
57876.36762,11.8996,0.0018,1.453
57876.36809,11.9080,0.0019,1.450
57876.36856,11.9051,0.0019,1.447
57876.36903,11.9092,0.0019,1.444
57876.36951,11.9139,0.0019,1.441
57876.36999,11.9113,0.0018,1.437
57876.37046,11.9030,0.0018,1.434
57876.37094,11.9110,0.0017,1.431
57876.37141,11.9075,0.0016,1.428
57876.37189,11.9028,0.0015,1.425
57876.37237,11.9134,0.0014,1.422
57876.37285,11.9014,0.0013,1.419
57876.37332,11.9117,0.0013,1.416
57876.37380,11.9035,0.0013,1.413
57876.37427,11.9018,0.0013,1.410
57876.37473,11.9113,0.0013,1.407
57876.37522,11.9120,0.0013,1.404
57876.37571,11.9101,0.0014,1.401
57876.37618,11.9052,0.0014,1.398
57876.37667,11.9121,0.0014,1.395
57876.37713,11.9054,0.0014,1.392
57876.37760,11.9074,0.0014,1.389
57876.37809,11.9047,0.0014,1.386
57876.37856,11.9068,0.0014,1.383
57876.37904,11.9100,0.0014,1.381
57876.37951,11.9070,0.0014,1.378
57876.37999,11.9023,0.0013,1.375
57876.38046,11.9062,0.0013,1.372
57876.38094,11.9048,0.0014,1.370
57876.38141,11.9014,0.0014,1.367
57876.38189,11.9109,0.0014,1.364
57876.38236,11.9080,0.0015,1.361
57876.38284,11.9012,0.0015,1.359
57876.38332,11.8998,0.0016,1.356
57876.38380,11.9080,0.0016,1.353
57876.38427,11.9068,0.0017,1.351
57876.38475,11.9054,0.0018,1.348
57876.38521,11.9054,0.0019,1.346
57876.38569,11.9069,0.0019,1.343
57876.38617,11.9083,0.0020,1.340
