JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer_Code,Comment Code(s),Comp_Star_1,Comp_Star_2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458864.15106,1.315,0.011,,TR,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,2.166,2.439,,alf Ori,,STD,,,,
2458864.15106,1.772,,,TG,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: IRIS 5.59""",0,,Z,1.757,2.090,,alf Ori,,STD,,,,
2458864.16667,1.6,,,Vis.,MAEA,,0.8,3.2,X24958AKI,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.16808,1.856,0.004,,TB,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,1.84,2.167,,alf Ori,,STD,,,,
2458864.16808,2.061,0.006,,TR,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,2.166,2.507,,alf Ori,,STD,,,,
2458864.16808,1.637,,,TG,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: IRIS 5.59""",0,,Z,1.779,2.071,,alf Ori,,STD,,,,
2458864.1917,1.4,,,Vis.,VFK,,12,16,SELFM,BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2458864.2278,1.4,,,Vis.,JDAA,,0.18,1.64,SkyCharts (CdC),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.22917,1.4,,,Vis.,NAO,B,0.9,1.6,AAVSO Alert Notice 6,"""Naked eye, Petrozavodsk""",,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458864.2480,1.613,0.004,,V,WGI,BU,000-BBJ-929,gam Gem,X21529BM,,0,2.037,Z,1.790,1.902,,ALF ORI,BAV,STD,,,,
2458864.25486,1.5,,,Vis.,CMAE,,1.8,,X24980IV,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.27569,1.4,,,Vis.,BXT,K,0.9,1.6,NonAAVSO,comp. alfa Tau/gamma ori,,,Z,,,,ALF ORI,NAS,STD,,,,
2458864.3000,1.4,,,Vis.,DNO,,09,16,X24963AZS,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.3229,1.3,,,Vis.,VTY,,10(1)V(1)16,,AAVSOX25007ADS,,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2458864.32639,1.5,,,Vis.,CJEC,,12,17,ten star training pr,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458864.32639,1.4,,,Vis.,BSIA,BUK,11,17,X23917IO,naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.32639,1.64,,,Vis.,NMMA,,1.64,1.71,X25071AZ,Magnitude visually equal to Bellatrix.,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458864.32986,1.5,,,Vis.,MFB,,0.86,0.13,x26960JK,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458864.33333,1.46,,,Vis.,PIV,,Bellatrix,Pollux,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.35903,1.3,,,Vis.,SDAV,,0.8,1.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.3611,1.35,,,Vis.,MJZ,,1.14,1.79,X25041LX,,,,Z,,,,alf Ori,AFOEV,STD,,,,
2458864.36458,1.5,,,Vis.,MJOE,,19,12,10 Stars,,,,Z,,,,alf Ori,,STD,,,,
2458864.37153,1.5,,,Vis.,COV,,1.3,1.9,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.39931,1.4,,,Vis.,AJLA,K,0.8,2.0,UBA,I used a chart made by Brazilian Astronomy Union.,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.42500,1.26,,,Vis.,SGQ,B,bet Gem mv=1.16,alf Gem mv=1.58,Tirion2000.0/Simbad,"""Roma, via della Giuliana. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.4722,1.6,,,Vis.,BHS,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.49306,1.5,,,Vis.,SWQ,,0.9,1.6,SKY SAFARI,,,,Z,,,,ALF ORI,REA,STD,,,,
2458864.4986,1.524,0.012,,V,BVE,,SAO 112958,SAO 113186,PEP,| HAZY | SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TV_BV=-0.036 | K_V_EST=0.25 | DELTA=0.828 | CREFMAG=4.082 | PROG=PEP_BV_V1.7.XLS |,1,1.60,Z,-3.631,-1.701,,ALF ORI,KNVWS,STD,,,,
2458864.4995,3.309,0.011,,B,BVE,,SAO 112958,SAO 113186,PEP,| HAZY | SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TB_BV=0.111 | K_B_EST=0.38 | KK_BV=-0.069 | DELTA=0.828 | CREFMAG=5.039 | PROG=PEP_BV_V1.7.XLS |,1,1.60,Z,-2.524,-0.262,,ALF ORI,KNVWS,STD,,,,
2458864.52431,1.5,,,Vis.,LALB,,zeta ori,pollux,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.556,1.7,,,Vis.,PYG,U,GAMMAGEM+2,,AAVSO 2008,,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2458864.55818,1.5,,,Vis.,NREA,,12,17,10-star,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458864.58403,1.5,,,Vis.,HUZ,,09,17,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.66250,1.5,,,Vis.,DKS,,12,19,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.75000,1.6,,,Vis.,HTN,,12,17,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.7604,1.8,,,Vis.,KCY,K,gam ori,zet ori,known magnitudes of ,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.07986,1.30,,,Vis.,TYGA,,0.15,1.6,THE SKY6.0,NAKED EYES,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458865.15854,1.025,0.012,,TR,OAAA,,SAIPH,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,2.09,1.852,,alf Ori,,STD,,,,
2458865.15854,2.301,0.009,,TB,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,1.59,1.908,,alf Ori,,STD,,,,
2458865.15854,1.797,,,TG,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: IRIS 5.59""",0,,Z,1.766,2.082,,alf Ori,,STD,,,,
2458865.166,1.3,,,Vis.,ZOLA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.17581,1.860,0.005,,TR,OAAA,,SAIPH,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,2.09,2.395,,alf Ori,,STD,,,,
2458865.17581,1.606,0.004,,TB,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,1.59,2.527,,alf Ori,,STD,,,,
2458865.17581,1.558,,,TG,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: IRIS 5.59""",0,,Z,1.727,2.128,,alf Ori,,STD,,,,
2458865.187,1.3,,,Vis.,NDAA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.208,1.3,,,Vis.,LNAA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.208,1.3,,,Vis.,LOLA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.25208,1.5,,,Vis.,ATOB,,12,19,10-star,,,,Z,,,,ALF ORI,AS,STD,,,,
2458865.2556,1.500,0.05,,V,CMF,,ENSEMBLE,,,,1,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.27083,1.5,,,Vis.,KMWA,K,Belatrix,Pollux,Cartes du Ciel,,,,Z,,,,BETELGEUSE,BAV,STD,,,,
2458865.2938,1.7,,,Vis.,MUY,,1.1,1.8,0.0,COMP STARS BETA GEM - ZETA ORI,,,Z,,,,ALF ORI,VVS,STD,,,,
2458865.3,1.4,,,Vis.,SPAO,,09,19,2008,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458865.308,1.9,,,Vis.,LTO,,0.87,1.79,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.326,1.3,,,Vis.,MQA,,1.6,,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.33,1.4,,,Vis.,WBOA,,Bellatrix,Aldebaran,X24963ATG,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.3319,1.47,,,Vis.,MJZ,,1.14,1.92,X25041LX,,,,Z,,,,alf Ori,AFOEV,STD,,,,
2458865.33715,1.4,,,Vis.,DVIA,BU,12,16,10 star chart,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458865.35764,1.30,,,Vis.,SGQ,U,bet Gem mv=1.16,alf Gem mv=1.58,Tirion2000.0/Simbad,"""Roma, largo S. Lucia Filippini. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.36250,1.4,,,Vis.,CSZ,,0.9,1.6,"Aldebaran, Bellatrix",,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458865.36389,1.2,,,Vis.,MVO,,12,16,080101+X25090ACW,,,,Z,,,,ALF ORI,URSA,STD,,,,
2458865.3743,1.4,,,Vis.,VFK,,12,16,SELFM,LEIPZIG BL. AUGE,,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.381,1.7,,,Vis.,LTO,,0.87,1.79,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.38542,1.43,,,Vis.,PIV,,Polluce,Bellatrix,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.3866,1.517,0.027,,V,BVE,,SAO 112958,SAO 113186,PEP,| SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TV_BV=-0.036 | K_V_EST=0.25 | DELTA=0.844 | CREFMAG=4.082 | PROG=PEP_BV_V1.7.XLS |,1,1.38,Z,-3.313,-1.431,,ALF ORI,KNVWS,STD,,,,
2458865.3873,3.318,0.018,,B,BVE,,SAO 112958,SAO 113186,PEP,| SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TB_BV=0.111 | K_B_EST=0.38 | KK_BV=-0.069 | DELTA=0.844 | CREFMAG=5.039 | PROG=PEP_BV_V1.7.XLS |,1,1.38,Z,-2.301,-0.036,,ALF ORI,KNVWS,STD,,,,
2458865.4090,1.772,0.003,,V,WGI,BU,gam Ori,gam Gem,X25129BM,,0,1.375,Z,1.640,1.910,,ALF ORI,BAV,STD,,,,
2458865.42792,1.536,0.02,,V,NOT,,000-BBJ-738,000-BBK-574,X24958AHS,,0,1.37,Z,4.090,4.141,,ALF ORI,BAV,STD,,,,
2458865.46875,1.55,,,Vis.,MDP,,09,18,stars from alert not,comps from article,,,Z,,,,ALF ORI,RASC,STD,,,,
2458865.52431,1.4,,,Vis.,BJS,,12,19,Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.545,1.3,,,Vis.,RRIA,,1.2,1.6,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.54514,1.699,0.08,,TG,MDAG,K,Ensemble,Bellatrix,Astroart GSC Data,,0,,Z,-,1.64,,BETELGEUSE,AAVSO,STD,,,,
2458865.55730,2.896,0.030,,B,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.56115,1.448,0.022,,V,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.56443,0.538,0.016,,R,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.56718,-0.857,0.010,,I,SAH,,ENSEMBLE,,X24960JG,,0,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.63194,1.7,,,Vis.,DFR,,0.9,1.9,10-star-tutorial,10star tutorial used for chart for comparison stars,,,Z,,,,ALF ORI,RASC,STD,,,,
2458865.64583,1.3,,,Vis.,PRUA,,0.9,1.6,X24958DVL,Unaided Eye,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458865.65833,1.4,,,Vis.,DDJ,U,0.12,2.1,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.7417,1.512,0.022,,V,PTOB,,000-BBH-168,40 Ori,X25095YP,"""Average of 18 observations.  12.5-inch stopped down to 2 inches, and defocused.""",0,1.112,Z,-4.539,-1.343,,BETELGEUSE,AAVSO,STD,,,,
2458865.7528,1.724,0.004,,V,WGI,BU,gam Ori,gam Gem,X25129BM,,0,1.937,Z,1.640,1.713,,ALF ORI,BAV,STD,,,,
2458865.85069,1.8,,,Vis.,LVY,,0.3,1.6,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.22014,1.45,,,Vis.,SGQ,UL,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Pescara, ICRANet, Betelgeuse dimming meeting. Naked eye with airmass correction.""",,,Z,,,,alf Ori,AAVSO,STD,,,,
2458866.24861,1.4,,,Vis.,SDAV,,1.8,0.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.25347,1.6,,,Vis.,ATOB,,09,19,10-star,,,,Z,,,,ALF ORI,AS,STD,,,,
2458866.27431,1.35,,,Vis.,SGQ,UL,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Pescara, ICRANet, Betelgeuse dimming meeting. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.29028,1.4,,,Vis.,COV,,1.1,1.9,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.30208,1.50,,,Vis.,NMMA,,1.64,1.71,Bright Star Catalog,gam Ori and eps Ori,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458866.30556,1.52,,,Vis.,PIV,,Polluce,Bellatrix,MarSEC 2020,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.34935,1.680,,,TG,OAAA,,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: IRIS 5.59""",0,,Z,0.922,1.731,,alf Ori,,STD,,,,
2458866.34942,0.754,0.005,,TR,OAAA,,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,-0.37,1.209,,alf Ori,,STD,,,,
2458866.34942,3.449,0.004,,TB,OAAA,,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,2.4,2.67,,alf Ori,,STD,,,,
2458866.35764,1.29,,,Vis.,SGQ,,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Pescara, front sea 7th floor, Betelgeuse dimming meeting. Naked eye with airmass correction. """,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458866.37113,1.626,,,TG,OAAA,L,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: IRIS 5.59""",0,,Z,0.922,1.705,,alf Ori,,STD,,,,
2458866.37688,0.312,0.006,,TR,OAAA,,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,-0.37,1.209,,alf Ori,,STD,,,,
2458866.37688,3.325,0.010,,TB,OAAA,,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,"""OBSERVED AND MEASURED BY ALDRIN B. GABUYA. EQUIPMENT USED: CANON EOS 1D MARK IV DSLR, TAMRON 24MM LENS. SOFTWARE: MAXIM DL""",0,,Z,2.4,2.67,,alf Ori,,STD,,,,
2458866.3771,1.5,,,Vis.,DPV,,1.14,1.64,OSE2001,,,,Z,,,,ALF ORI,,STD,,,,
2458866.40069,1.4,,,Vis.,AJLA,K,0.8,2.0,UBA,I used a chart made by Brazilian Astronomy Union.,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.40625,1.5,,,Vis.,MJOE,,19,12,10 Stars,,,,Z,,,,ALF ORI,,STD,,,,
2458866.482,1.4,,,Vis.,RMAF,,16,09,X24997KO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.49653,1.7,,,Vis.,ONJ,,17,19,ten star tutorial,differential extinction allowed for,,,Z,,,,ALF ORI,,STD,,,,
2458866.5,1.6,,,Vis.,BRJ,,16,17,SEE COMMETS,"""CASTOR 1.1 , BELLATRIX 1.6 , ALNILAM 1.7 , ALNITAK 2.0""",,,Z,,,,alf Ori,AAVSO,STD,,,,
2458866.53699,1.5,,,Vis.,HFF,,Bellatrix,Pollux,Chart created using ,"""Stellarium lists Bellatrix as 1.6 and Pollux as 1.15.  I saw Betelgeuse slightly brighter than Bellatrix, but not nearly as bright as Pollux.  Thus my visual estimate of 1.5""",,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458866.54167,1.3,,,Vis.,RRIA,,1.2,1.6,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.56458,1.50,,,Vis.,ASA,,160,170,X25059AKB,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458866.5770,-3.043,0.011,,J,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2458866.5770,-3.864,0.021,,H,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2458866.60417,1.6,,,Vis.,GPMA,,1.7,1.2,Alpha Ori chart from,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458866.61458,1.6,,,Vis.,DKS,,12,19,10 star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.6438,1.491,0.003,,V,FXJ,,SAO 112958,SAO 113186,PEP,,1,1.177,Z,4.082,5.972,,ALF ORI,AAVSO,STD,,,,
2458866.71667,1.6,,,Vis.,NREA,B,12,17,10-Star,Also very similar to Bellatrix in brightness. ,,,Z,,,,ALF ORI,RASC,STD,,,,
2458866.73611,1.9,,,Vis.,HTN,,19,17,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.75000,1.2,,,Vis.,BMF,B,1.2,1.9,AAVSO 10-star tutori,,,,Z,,,,BETELGEUSE,RASC,STD,,,,
2458866.82639,1.9,,,Vis.,LVY,,0.3,1.6,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.85069,1.9,,,Vis.,LVY,,0.3,1.6,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.8790,-2.989,0.024,,J,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2458866.8790,-3.768,0.002,,H,KCD,,BETA ORI,,13650PT,,1,,Z,,,,ALF ORI,BAA-VSS,STD,1,,,
2458866.91319,1.48,,,Vis.,TICA,,085,160,chart not plotted ye,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.03356,1.4,,,Vis.,BDJB,W,09,16,10 Star,,,,Z,,,,ALF ORI,ASSAU,STD,,,,
2458867.22222,1.3,,,Vis.,BCAD,,1.2,1.7,AAVSO 10 star tutori,"""Observation from Kostanay/Kasakhstan, not so much light pollution as before.""",,,Z,,,,BETELGEUSE,,STD,,,,
2458867.2792,1.5,,,Vis.,BHS,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.3,1.5,,,Vis.,GZN,,12,19,10-STAR TUTORIAL,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.31250,1.44,,,Vis.,BROJ,K,Pollux,Bellatrix,See comments,"""Pollux = 1.22, Bellatrix = 1.66""",,,Z,,,,BETELGEUSE,GEOS,STD,,,,
2458867.33333,1.5,,,Vis.,DMIB,K,1.0,1.6,Tycho2,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458867.3507,1.5,,,Vis.,DPV,,1.14,1.64,OSE2001,,,,Z,,,,ALF ORI,,STD,,,,
2458867.37500,1.5,,,Vis.,TTU,,1.64,"""1.16, 1.58""",J,,,,Z,,,,ALF ORI,,STD,,,,
2458867.38542,1.5,,,Vis.,SDAV,,1.8,0.8,ORI0708,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.4083,1.5,,,Vis.,WBOA,,0.86 Aldebaran,1.64 Bellatrix ,X24963ATG,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.41667,1.4,,,Vis.,JADB,,Bellatrix,Pollux,Skymap Pro,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458867.43750,1.2,,,Vis.,BMF,B,1.2,1.9,AAVSO 10-Star maps,,,,Z,,,,BETELGEUSE,RASC,STD,,,,
2458867.4410,1.4,,,Vis.,KTHA,K,NA,,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458867.45486,1.6,,,Vis.,REE,,0.4,1.7,10star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.47917,1.2,,,Vis.,BMF,B,1.2,1.9,10 Star Tutorial ,,,,Z,,,,BETELGEUSE,RASC,STD,,,,
2458867.54097,1.5,,,Vis.,CKB,,09,18,AAN690,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.54514,1.4,,,Vis.,MJHA,B,1.6,.9,Ten Star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.55208,1.2,,,Vis.,CMAL,,16,08,Stellarium,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.5610,-3.044,0.003,,J,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2458867.5610,-3.884,0.005,,H,PGD,,HR1790,,,,1,,Z,,,,ALF ORI,AAVSO,STD,1,,,
2458867.57778,1.5,,,Vis.,SDN,,16,20,X25004SO,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2458867.58333,1.6,,,Vis.,NREA,B,17,12,10-Star for ALF ORI,Also verified against other stars of comparable magnitude ,,,Z,,,,alf Ori,RASC,STD,,,,
2458867.63194,1.765,0.046,,CV,MDAG,K,Ensemble,-,Astroart - GSC Data,Ensemble of 7 stars. ,0,,Z,-,,,BETELGEUSE,AAVSO,STD,,,,
2458867.6597,1.496,0.003,,V,FXJ,,SAO 112958,SAO 113186,PEP,,1,1.138,Z,4.082,5.963,,ALF ORI,AAVSO,STD,,,,
2458867.68819,1.50,,,Vis.,ASA,,160,170,X25059AKB,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458867.70833,1.7,,,Vis.,HTN,,17,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458867.95833,1.48,,,Vis.,TICA,,085,160,chart not plotted ye,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.173,1.4,,,Vis.,MQA,U,1.6,,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.1896,1.6,,,Vis.,BHS,,NA,,NA,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.25,1.5,,,Vis.,WBOA,,0.86 Aldebaran,1.64 Bellatrix ,X24963ATG,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.26042,1.4,,,Vis.,MFB,,0.86,0.13,x26960JK,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458868.28472,1.6,,,Vis.,MED,,1.9,,A,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.2882,1.4,,,Vis.,KTHA,K,NA,,NA,,,,Z,,,,ALF ORI,SAAF,STD,,,,
2458868.29514,1.5,,,Vis.,AJV,,09,"""16,19""",standard,,,,Z,,,,ALF ORI,AASABADELL,STD,,,,
2458868.3,1.4,,,Vis.,SPAO,,09,19,2008,,,,Z,,,,ALF ORI,UAI,STD,,,,
2458868.30972,1.5,,,Vis.,ATOB,,12,19,10-star,,,,Z,,,,ALF ORI,AS,STD,,,,
2458868.33958,1.45,,,Vis.,COV,,1.1,1.9,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.35600,1.4,,,Vis.,ATE,,Polux 1.2,Alhema 1.9,010420,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.43750,1.5,,,Vis.,ATDA,,12,19,10 star tutorial for,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.44792,1.4,,,Vis.,RJG,,12,17,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.45139,1.4,,,Vis.,CAI,,12,16,SA1968,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.4583,1.5,,,Vis.,DPV,,1.14,1.64,OSE2001,,,,Z,,,,ALF ORI,,STD,,,,
2458868.48958,1.4,,,Vis.,RRIA,,1.2,1.6,10 star,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458868.49583,1.6,,,Vis.,SBN,,08,41,X25076ATU,,,,Z,,,,ALF ORI,REA,STD,,,,
